career_role,domain,required_skills,interests,technologies,education_keywords,roadmap
Data Scientist,Data Science,"python, statistics, machine learning, data visualization, sql, pandas, numpy, scikit-learn, predictive modeling","analytics, research, business intelligence, experimentation","Python, Pandas, NumPy, Scikit-learn, SQL, Jupyter, Plotly","computer science, statistics, mathematics, engineering","Python and statistics basics > SQL and exploratory analysis > ML algorithms > model evaluation > portfolio projects"
Machine Learning Engineer,Artificial Intelligence,"python, machine learning, deep learning, model deployment, algorithms, data structures, mlops, feature engineering","ai, automation, optimization, research","Python, Scikit-learn, TensorFlow, PyTorch, Docker, FastAPI, MLflow","computer science, ai, engineering, data science","Python and DSA > ML fundamentals > deep learning > APIs and deployment > MLOps pipelines"
AI Product Manager,Product Management,"product strategy, user research, analytics, ai literacy, communication, prioritization, stakeholder management","product, strategy, ai, customer problems","Jira, Figma, Mixpanel, Notion, ChatGPT, SQL, Tableau","business, computer science, management, engineering","Product fundamentals > AI concepts > analytics > roadmap planning > launch case studies"
Cloud Engineer,Cloud Computing,"cloud computing, linux, networking, scripting, security, devops, containers, troubleshooting","infrastructure, systems, reliability, automation","AWS, Azure, GCP, Docker, Kubernetes, Terraform, Linux","computer science, information technology, networking","Linux and networking > cloud fundamentals > IAM and security > containers > infrastructure as code"
Cybersecurity Analyst,Cybersecurity,"network security, risk analysis, incident response, linux, vulnerability assessment, security monitoring, compliance","security, investigation, ethical hacking, risk","Wireshark, Splunk, Kali Linux, Nessus, SIEM, Python","cybersecurity, information technology, computer science","Networking basics > Linux > threat analysis > SIEM practice > incident response labs"
Full Stack Developer,Software Engineering,"javascript, html, css, react, nodejs, databases, api development, git, problem solving","web apps, building products, user experience","React, Node.js, Express, MongoDB, PostgreSQL, Git, REST APIs","computer science, software engineering, information technology","HTML CSS JS > React > backend APIs > databases > deployment and testing"
Data Analyst,Analytics,"sql, excel, statistics, data cleaning, dashboards, storytelling, python, business analysis","business insights, reporting, analytics, operations","SQL, Excel, Power BI, Tableau, Python, Pandas","business, statistics, economics, computer science","Excel and SQL > data cleaning > dashboarding > storytelling > analytics portfolio"
DevOps Engineer,DevOps,"linux, ci cd, scripting, cloud computing, docker, kubernetes, monitoring, automation","automation, reliability, infrastructure, release engineering","Linux, GitHub Actions, Jenkins, Docker, Kubernetes, Prometheus, Terraform","computer science, information technology, engineering","Linux and Git > scripting > CI/CD > containers > monitoring and IaC"
UX Designer,Design,"user research, wireframing, prototyping, visual design, accessibility, usability testing, communication","design, psychology, products, user behavior","Figma, FigJam, Adobe XD, Miro, Notion, Maze","design, psychology, human computer interaction, communication","Design principles > user research > wireframes > prototyping > usability testing portfolio"
Business Intelligence Developer,Business Intelligence,"sql, data modeling, etl, dashboards, data warehousing, analytics, stakeholder communication","business reporting, decision support, analytics","Power BI, Tableau, SQL Server, Snowflake, dbt, Excel","business, computer science, information systems, statistics","SQL > data modeling > BI dashboards > warehouse concepts > stakeholder reporting"
Mobile App Developer,Software Engineering,"mobile development, programming, ui design, api integration, debugging, testing, databases","apps, user experience, product building","Flutter, Dart, Kotlin, Swift, Firebase, REST APIs, Git","computer science, software engineering, information technology","Programming basics > mobile UI > API integration > local storage > publish apps"
Generative AI Engineer,Artificial Intelligence,"python, prompt engineering, llms, machine learning, vector databases, api integration, rag, evaluation","ai, language, automation, research","OpenAI API, LangChain, LlamaIndex, Chroma, Pinecone, Python, FastAPI","computer science, ai, data science, engineering","Python and APIs > LLM concepts > prompt engineering > RAG > evaluation and deployment"
Data Engineer,Data Engineering,"python, sql, data modeling, etl, data pipelines, databases, cloud computing, data warehousing","data platforms, automation, analytics, infrastructure","Python, SQL, Airflow, Spark, Snowflake, dbt, AWS, PostgreSQL","computer science, information systems, data science, engineering","SQL and Python > data modeling > ETL pipelines > Spark or Airflow > cloud warehouse projects"
Backend Developer,Software Engineering,"python, java, nodejs, api development, databases, system design, testing, git","backend systems, scalability, problem solving, products","Python, Java, Node.js, Django, FastAPI, PostgreSQL, Redis, Docker","computer science, software engineering, information technology","Programming fundamentals > API design > databases > testing > deployment and system design"
Frontend Developer,Software Engineering,"javascript, html, css, react, ui development, accessibility, responsive design, testing","web interfaces, design systems, user experience","React, TypeScript, HTML, CSS, Tailwind, Vite, Figma, Git","computer science, software engineering, design, information technology","HTML CSS JS > React and TypeScript > responsive UI > accessibility > frontend portfolio"
QA Automation Engineer,Quality Assurance,"manual testing, automation testing, selenium, python, java, api testing, test cases, debugging","quality, testing, reliability, process improvement","Selenium, Playwright, Postman, Python, Java, JMeter, GitHub Actions","computer science, information technology, software testing","Testing fundamentals > API testing > Selenium or Playwright > CI automation > quality metrics"
